"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ACTUALIDAD JURIDICA AMBIENTAL","1989-5666","1989-5666","CENTRO INT ESTUDIOS DERECHO AMBIENTAL-CIEDA-CIEMAT","PLAZA BERNARDO ROBLES, 9, SORIA, SPAIN, 42002","English, Galician, Portuguese, Spanish","Law"
"ACTUALITE ECONOMIQUE","0001-771X","1710-3991","ECOLE DES HAUTES ETUDES COMMER","5255 AVE DECELLES, MONTREAL, CANADA, QUEBEC, H3T 1V6","","Economics | Economics & Business"
"ACTUALITES PHARMACEUTIQUES","0515-3700","0515-3700","ELSEVIER MASSON, CORPORATION OFFICE","65 CAMILLE DESMOULINS CS50083 ISSY-LES-MOULINEAUX, PARIS, FRANCE, 92442","","Pharmacology & Pharmacy | Pharmacology & Toxicology"
"ACTUALIZACIONES EN OSTEOLOGIA","1669-8975","1669-8983","ASOC ARGENTINA OSTEOLOGIA & METABOLISMO MINERAL","COSQUIN 1673, BARRIO JARDIN, CORDOBA, ARGENTINA, 5014","","Medicine, Research & Experimental"
"ACUTE AND CRITICAL CARE","2586-6052","2586-6060","KOREAN SOC CRITICAL CARE MEDICINE","806 YONG SEONG BIZTEL BLDG, 109 HANGANG-DAERO, YONGSAN-GU, SEOUL, SOUTH KOREA, 04376","English","Critical Care Medicine"
"ACUTE MEDICINE & SURGERY","2052-8817","2052-8817","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Clinical Medicine | Medicine, General & Internal"
"AD ALTA-JOURNAL OF INTERDISCIPLINARY RESEARCH","1804-7890","1804-7890","MAGNANIMITAS","CESKOSLOVENSKE ARMADY 300, HRADEC KRALOVE, CZECH REPUBLIC, 500 03","","Multidisciplinary | Multidisciplinary Sciences"
"ADAMANTIUS","1126-6244","","EDITRICE MORCELLIANA SPA","VIA GABRIELE ROSA 71, BRESCIA, ITALY, BS 25121","","Religion"
"ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY","2198-7335","2198-7335","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","","Psychology, Biological"
"ADCAIJ-ADVANCES IN DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE JOURNAL","2255-2863","2255-2863","EDICIONES UNIV SALAMANCA","APARTADO DE CORREOS 325, SALAMANCA, SPAIN, 00000","English","Computer Science | Computer Science, Artificial Intelligence"
"ADCOMUNICA-REVISTA CIENTIFICA DE ESTRATEGIAS TENDENCIAS E INNOVACION EN COMMUNICACION","2174-0992","2254-2728","ASOC DESARROLLO COMUNICACION","DESPACHO RR 0022 SD, EDIF RECTORADO CAMPUS RIU SEC, CASTELLON, SPAIN, 12006","Spanish","Communication | Social Sciences, General"
"ADDICTA-THE TURKISH JOURNAL ON ADDICTIONS","2148-7286","2149-1305","TURKISH GREEN CRESCENT SOC","SEPETCILER KASRIKENNEDY CAD NO 3 SARAYBURNU, FATIH, ISTANBUL, TURKEY, 34110","","Social Sciences, General | Substance Abuse"
"ADDICTIVE DISORDERS & THEIR TREATMENT","1531-5754","1535-1122","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","","Clinical Medicine | Substance Abuse"
"ADELAIDE LAW REVIEW","0065-1915","0065-1915","UNIV ADELAIDE","DEPT ENGLISH, ADELAIDE, AUSTRALIA, 5001","","Social Sciences, General | Law"
"ADEPTUS","2300-0783","2300-0783","POLISH ACAD SCIENCES, INST SLAVIC STUDIES","BARTOSZEWICZA 1B-17, WARSAW, POLAND, 00-337","Belarusian, English, Polish, Russian","Humanities, Multidisciplinary"
"ADMET AND DMPK","1848-7718","1848-7718","IAPC PUBLISHING","S ALICA 4, ZAGREB, CROATIA, HR-10000","English","Pharmacology & Pharmacy | Pharmacology & Toxicology"
"AD-MINISTER","1692-0279","2256-4322","UNIV EAFIT","CARRERA 49 N 7, BLOQUE 38, OFICINA 331, MEDELLIN, COLOMBIA, SURAMERICA, SUR-50","English, Spanish","Business | Economics & Business"
"ADMINISTRACAO-ENSINO E PESQUISA","2177-6083","2358-0917","ASSOC NAC CURSOS GRADUACAO & ADMINISTRACAO","AVE PRESIDENTE VARGAS, 590, GRUPO 1004 CENTRO, RIO DE JANEIRO, BRAZIL, 20071-000","Portuguese","Social Sciences, General | Management"
"ADMINISTRACAO PUBLICA E GESTAO SOCIAL","2175-5787","2175-5787","UNIV FEDERAL VICOSA","CAIXA POSTAL 270, VICOSA, BRAZIL, MG, CEP 36571-00","Portuguese","Social Sciences, General | Public Administration"
"ADMINISTRATION","0001-8325","2449-9471","SCIENDO","BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811","English","Social Sciences, General | Public Administration"
"ADMINISTRATIVE SCIENCES","2076-3387","2076-3387","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052","English","Social Sciences, General | Management"
"ADOLESCENT HEALTH MEDICINE AND THERAPEUTICS","1179-318X","1179-318X","DOVE MEDICAL PRESS LTD","PO BOX 300-008, ALBANY, NEW ZEALAND, AUCKLAND, 0752","English","Pediatrics"
"ADOLESCENT PSYCHIATRY","2210-6766","2210-6774","BENTHAM SCIENCE PUBL","PO BOX 294, BUSUM, NETHERLANDS, 1400 AG","","Clinical Medicine | Pediatrics"
"ADOLESCENT RESEARCH REVIEW","2363-8346","2363-8354","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330","","Psychiatry/Psychology | Psychology, Developmental"
"ADOPTION AND FOSTERING","0308-5759","1740-469X","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","","Social Sciences, General | Family Studies"
"ADOPTION QUARTERLY","1092-6755","1544-452X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Work | Social Sciences, General"
"ADULT LEARNING","1045-1595","2162-4070","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","","Social Sciences, General | Education & Educational Research"
"ADULTSPAN JOURNAL","1524-6817","2161-0029","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","","Psychiatry/Psychology | Psychology, Multidisciplinary"
"ADVANCED BIOMEDICAL ENGINEERING","2187-5219","2187-5219","JAPANESE SOC MEDICAL & BIOLOGICAL ENGINEERING","JAPANESE SOC MEDICAL & BIOLOGICAL ENGINEERING, TOKY, JAPAN, BUNKYO-KU, 112-0012","English","Molecular Biology & Genetics | Engineering, Biomedical"
"ADVANCED BIOSYSTEMS","2366-7478","2366-7478","WILEY-V C H VERLAG GMBH","POSTFACH 101161, WEINHEIM, GERMANY, 69451","","Materials Science, Biomaterials | Materials Science"
"ADVANCED EDUCATION","2409-3351","2410-8286","NATL TECHNICAL UNIV UKRAINE KYIV POLYTECHNIC INST, FAC LINGUISTICS","37, PEREMOHY AVE, OFFICE 718, BUILDING 7, KYIV, UKRAINE, 03056","English, French, German, Russian, Ukrainian","Social Sciences, General | Education & Educational Research"
"ADVANCED ELECTROMAGNETICS","2119-0275","2119-0275","LGEP-SUPELEC","11 RUEJOLIOT CURIE, GIF-SYUR-YVETTE CEDEX, GREECE, 91192","English","Engineering, Electrical & Electronic | Engineering"
"ADVANCED EMERGENCY NURSING JOURNAL","1931-4485","1931-4493","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","","Clinical Medicine | Nursing"
"ADVANCED JOURNAL OF EMERGENCY MEDICINE","","2588-400X","TEHRAN UNIV MEDICAL SCIENCES","CTR ELECTR RES PROVISION & J IMPROVEMENT, #7, POURSINA AVE, QODS AVE, PO 1417653911, TEHRAN, IRAN, 11498","English","Emergency Medicine"
"ADVANCED MANUFACTURING-POLYMER & COMPOSITES SCIENCE","2055-0340","2055-0359","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Engineering, Manufacturing | Engineering"
"ADVANCED OPTICAL TECHNOLOGIES","2192-8576","2192-8584","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","","Physics | Optics"
"ADVANCED PHARMACEUTICAL BULLETIN","2228-5881","2251-7308","TABRIZ UNIV MEDICAL SCIENCES & HEALTH SERVICES","DANESHGHAH ST, TABRIZ, IRAN, REPUBLIC ISLAMIC, 51664-14766","English","Pharmacology & Pharmacy | Pharmacology & Toxicology"
"ADVANCED QUANTUM TECHNOLOGIES","2511-9044","2511-9044","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","","Quantum Science & Technology | Optics"
"ADVANCED STRUCTURAL AND CHEMICAL IMAGING","2198-0926","2198-0926","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Chemistry | Microscopy"
"ADVANCED THERAPEUTICS","2366-3987","2366-3987","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","","Pharmacology & Pharmacy"
"ADVANCEMENTS IN LIFE SCIENCES","2310-5380","2310-5380","CENTRE EXCELLENCE MOLECULAR BIOLOGY-CEMB","87-WEST BANK, CANAL RD, LAHORE, PAKISTAN, 00000","English","Biology | Biology & Biochemistry"
"ADVANCES AND APPLICATIONS IN DISCRETE MATHEMATICS","0974-1658","0974-1658","PUSHPA PUBLISHING HOUSE","VIJAYA NIWAS, 198, MUMFORDGANJ, ALLAHABAD, INDIA, 211002","","Mathematics | Mathematics"
"ADVANCES AND APPLICATIONS IN MATHEMATICAL SCIENCES","0974-6803","","MILI PUBL","422B CHAK RAGHUNATH, NEAR RAILWAY CROSSING, ALLAHABAD, INDIA, 211 008","","Mathematics | Mathematics"
"ADVANCES AND APPLICATIONS IN STATISTICS","0972-3617","0972-3617","PUSHPA PUBLISHING HOUSE","VIJAYA NIWAS, 198, MUMFORDGANJ, ALLAHABAD, INDIA, 211002","","Statistics & Probability | Mathematics"
"ADVANCES IN ACCOUNTING","0882-6110","1046-5715","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","","Economics & Business | Business, Finance"
"ADVANCES IN ACOUSTICS AND VIBRATION","1687-6261","1687-627X","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF","English","Acoustics | Engineering"
"ADVANCES IN AIRCRAFT AND SPACECRAFT SCIENCE","2287-528X","2287-5271","TECHNO-PRESS","PO BOX 33, YUSEONG, DAEJEON, SOUTH KOREA, 305-600","","Engineering, Aerospace | Engineering"
"ADVANCES IN ASTRONOMY AND SPACE PHYSICS","2227-1481","2227-1481","TARAS SHEVCHENKO NATL UNIV KYIV","TARAS SHEVCHENKO NATL UNIV KYIV, KYIV, UKRAINE, 00000","","Physics | Astronomy & Astrophysics"
"ADVANCES IN AUTISM","2056-3868","2056-3868","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Psychiatry/Psychology | Psychology, Developmental"
"ADVANCES IN BUILDING ENERGY RESEARCH","1751-2549","1756-2201","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","","Construction & Building Technology | Engineering"
"ADVANCES IN CELLULAR AND MOLECULAR OTOLARYNGOLOGY","2001-6220","2001-6220","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","","Otorhinolaryngology | Clinical Medicine"
"ADVANCES IN CIVIL ENGINEERING MATERIALS","2379-1357","2165-3984","AMER SOC TESTING MATERIALS","100 BARR HARBOR DR, W CONSHOHOCKEN, USA, PA, 19428-2959","","Materials Science | Materials Science, Multidisciplinary"
"ADVANCES IN COMPUTATIONAL DESIGN","2383-8477","2466-0523","TECHNO-PRESS","PO BOX 33, YUSEONG, DAEJEON, SOUTH KOREA, 305-600","","Computer Science, Software Engineering | Computer Science"
"ADVANCES IN DATA SCIENCE AND ADAPTIVE ANALYSIS","2424-922X","2424-9238","WORLD SCIENTIFIC PUBL CO PTE LTD","5 TOH TUCK LINK, SINGAPORE, SINGAPORE, 596224","","Mathematics | Mathematics, Interdisciplinary Applications"
"ADVANCES IN DEVELOPING HUMAN RESOURCES","1523-4223","1552-3055","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","","Industrial Relations & Labor"
"ADVANCES IN DIFFERENTIAL EQUATIONS AND CONTROL PROCESSES","0974-3243","0974-3243","PUSHPA PUBLISHING HOUSE","VIJAYA NIWAS, 198, MUMFORDGANJ, ALLAHABAD, INDIA, 211002","","Mathematics | Mathematics, Applied"
"ADVANCES IN DIGESTIVE MEDICINE","2351-9797","2351-9800","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","","Clinical Medicine | Gastroenterology & Hepatology"
"ADVANCES IN DUAL DIAGNOSIS","1757-0972","2042-8324","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Psychiatry/Psychology | Psychology, Clinical"
"ADVANCES IN ELECTRICAL AND ELECTRONIC ENGINEERING","1336-1376","1804-3119","VSB-TECHNICAL UNIV OSTRAVA","17 LISTOPADU 15, OSTRAVA, CZECH REPUBLIC, 70833","English","Engineering, Electrical & Electronic | Engineering"
"ADVANCES IN ENERGY RESEARCH","2287-6316","2287-6324","TECHNO-PRESS","PO BOX 33, YUSEONG, DAEJEON, SOUTH KOREA, 305-600","","Energy & Fuels | Engineering"
"ADVANCES IN ENGINEERING EDUCATION","1941-1766","1941-1766","AMER SOC ENGINEERING EDUCATION","1818 N ST, N W, STE 600, WASHINGTON, USA, DC, 20036","","Education, Scientific Disciplines | Engineering"
"ADVANCES IN ENVIRONMENTAL RESEARCH-AN INTERNATIONAL JOURNAL","2234-1722","2234-1730","TECHNO-PRESS","PO BOX 33, YUSEONG, DAEJEON, SOUTH KOREA, 305-600","","Engineering, Environmental | Engineering"
"ADVANCES IN FUZZY SYSTEMS","1687-7101","1687-711X","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF","English","Mathematics | Mathematics, Applied"
"ADVANCES IN GERONTOLOGY","2079-0570","2079-0589","PLEIADES PUBLISHING INC","BUTLEROVA UL 17 B, MOSCOW, Russia,  , 117342","","Geriatrics & Gerontology"
"ADVANCES IN GROUP THEORY AND APPLICATIONS","2499-1287","2499-1287","AGTA","AGTA, UDINE, ITALY, 00000","English","Mathematics | Mathematics"
"ADVANCES IN HOSPITALITY AND TOURISM RESEARCH-AHTR","2147-9100","2148-7316","AKDENIZ UNIV TOURISM FAC","PINARBASI MAHALLESI, DUMLUPINAR BOULEVARD, ANTALYA, TURKEY, KONYAALTI, 07058","English","Social Sciences, General | Hospitality, Leisure, Sport & Tourism"
"ADVANCES IN HUMAN BIOLOGY","2321-8568","2348-4691","WOLTERS KLUWER MEDKNOW PUBLICATIONS","WOLTERS KLUWER INDIA PVT LTD , A-202, 2ND FLR, QUBE, C T S  NO 1498A-2 VILLAGE MAROL, ANDHERI EAST, MUMBAI, INDIA, 400059","English","Biology | Biology & Biochemistry"
"ADVANCES IN HUMAN-COMPUTER INTERACTION","1687-5893","1687-5907","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF","English","Computer Science | Computer Science, Artificial Intelligence"
"ADVANCES IN INTEGRATIVE MEDICINE","2212-9626","2212-9634","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Clinical Medicine | Integrative & Complementary Medicine"
"ADVANCES IN MATERIALS AND PROCESSING TECHNOLOGIES","2374-068X","2374-0698","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","","Materials Science, Multidisciplinary"
"ADVANCES IN MATERIALS RESEARCH-AN INTERNATIONAL JOURNAL","2234-0912","2234-179X","TECHNO-PRESS","PO BOX 33, YUSEONG, DAEJEON, SOUTH KOREA, 305-600","","Materials Science | Materials Science, Multidisciplinary"
"ADVANCES IN MATERIALS SCIENCE","2083-4799","2083-4799","SCIENDO","BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811","","Materials Science | Materials Science, Multidisciplinary"
"ADVANCES IN MEDICAL EDUCATION AND PRACTICE","1179-7258","1179-7258","DOVE MEDICAL PRESS LTD","PO BOX 300-008, ALBANY, NEW ZEALAND, AUCKLAND, 0752","English","Medicine, General & Internal"
"ADVANCES IN MENTAL HEALTH","1838-7357","1837-4905","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Psychiatry/Psychology | Psychiatry"
"ADVANCES IN MENTAL HEALTH AND INTELLECTUAL DISABILITIES","2044-1282","2044-1290","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Psychiatry/Psychology | Psychiatry"
"ADVANCES IN MULTIMEDIA","1687-5680","1687-5699","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF","English","Engineering, Electrical & Electronic | Engineering"
"ADVANCES IN NATURAL SCIENCES-NANOSCIENCE AND NANOTECHNOLOGY","2043-6254","2043-6262","IOP PUBLISHING LTD","TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE","","Nanoscience & Nanotechnology | Materials Science, Multidisciplinary | Physics, Applied"
"ADVANCES IN NEUROIMMUNE BIOLOGY","1878-948X","1878-9498","IOS PRESS","NIEUWE HEMWEG 6B, AMSTERDAM, NETHERLANDS, 1013 BG","","Immunology | Immunology"
"ADVANCES IN OPERATIONS RESEARCH","1687-9147","1687-9155","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF","English","Social Sciences, General | Operations Research & Management Science"
"ADVANCES IN OPERATOR THEORY","2662-2009","2538-225X","SPRINGER BASEL AG","PICASSOPLATZ 4, BASEL, SWITZERLAND, 4052","","Mathematics | Mathematics"
"ADVANCES IN OPTOELECTRONICS","1687-563X","1687-5648","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF","English","Engineering, Electrical & Electronic | Engineering"
"ADVANCES IN ORTHOPEDICS","2090-3464","2090-3472","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF","English","Clinical Medicine | Orthopedics"
"ADVANCES IN PHARMACOLOGICAL AND PHARMACEUTICAL SCIENCES","2633-4682","2633-4690","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF","English","Pharmacology & Pharmacy"
"ADVANCES IN PHARMACOLOGY AND PHARMACY","2332-0036","2332-0044","HORIZON RESEARCH PUBLISHING","506 N GARFIELD AVE, STE 210, ALHAMBRA, USA, CA, 91801","","Pharmacology & Pharmacy"
"ADVANCES IN PUBLIC HEALTH","2356-6868","2314-7784","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF","English","Public, Environmental & Occupational Health"
"ADVANCES IN PURE AND APPLIED MATHEMATICS","1867-1152","1869-6090","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","","Mathematics | Mathematics"
"ADVANCES IN RADIATION ONCOLOGY","2452-1094","2452-1094","ELSEVIER INC","525 B STREET, STE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Radiology, Nuclear Medicine & Medical Imaging | Oncology"
"ADVANCES IN RADIO SCIENCE","1684-9965","1684-9973","COPERNICUS GESELLSCHAFT MBH","BAHNHOFSALLEE 1E, GOTTINGEN, GERMANY, 37081","English, German","Engineering, Electrical & Electronic | Engineering"
"ADVANCES IN RESPIRATORY MEDICINE","2451-4934","2543-6031","VIA MEDICA","UL SWIETOKRZYSKA 73, GDANSK, POLAND, 80-180","","Clinical Medicine | Respiratory System"
"ADVANCES IN SCHOOL MENTAL HEALTH PROMOTION","1754-730X","2049-8535","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","","Psychology, Educational"
"ADVANCES IN SCIENCE AND TECHNOLOGY-RESEARCH JOURNAL","2080-4075","2299-8624","LUBLIN UNIV TECHNOLOGY, POLAND","FAC MECHANICAL ENG, NADBYSTRZYCKA 38 D, LUBLIN, POLAND, 20618","English","Engineering, Multidisciplinary | Engineering"
"ADVANCES IN TRADITIONAL MEDICINE","2662-4052","2662-4060","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","","Pharmacology & Pharmacy"
"ADVANCES IN TRIBOLOGY","1687-5915","1687-5923","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF","English","Engineering, Mechanical | Engineering"
"ADVANCES IN UROLOGY","1687-6369","1687-6377","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF","English","Clinical Medicine | Urology & Nephrology"
"ADVANCES IN VIROLOGY","1687-8639","1687-8647","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF","English","Clinical Medicine | Virology"
"AEDOS-REVISTA DO CORPO DISCENTE DO PROGRAMA DE POS-GRADUACAO EM HISTORIA DA UFRGS","1984-5634","1984-5634","UNIV FEDERAL RIO GRANDE SUL, PROGRAMA POS-GRADUACAO & HISTORIA","CAIXA POSTAL 15055, PORTO ALEGRE, BRAZIL, RS 91501-970","","History"
"AEROSPACE","2226-4310","2226-4310","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052","English","Engineering, Aerospace | Engineering"
"AEROSPACE RESEARCH IN BULGARIA","1313-0927","2367-9522","BULGARIAN ACAD SCIENCES, SPACE RESEARCH & TECHNOLOGY INST- SRTI-BAS","ACAD. GEORGI BONCHEV STR., SOFIA, BULGARIA, 1113","","Engineering, Aerospace | Engineering"
"AESTIMATIO-THE IEB INTERNATIONAL JOURNAL OF FINANCE","2173-0164","2173-1926","UNIV COMPLUTENSE MADRID, INST ESTUDIOS BURSATILES-IEB","CALLE ALFONSO XI 6, MADRID, SPAIN, 28014","","Economics & Business | Business, Finance"
"AESTIMUM","1592-6117","1724-2118","FIRENZE UNIV PRESS","JOURNALS DIVISION, BORGO ALBIZI, 28, FIRENZE, ITALY, 50122","English, Italian","Economics | Economics & Business"
"AFGHANISTAN","2399-357X","2399-3588","EDINBURGH UNIV PRESS","THE TUN-HOLYROOD RD, 12 2F JACKSONS ENTRY, EDINBURGH, SCOTLAND, EH8 8PJ","","Asian Studies"
"AFKAR-JURNAL AKIDAH & PEMIKIRAN ISLAM-JOURNAL OF AQIDAH & ISLAMIC THOUGHT","1511-8819","2550-1755","UNIV MALAYA, ACAD ISLAMIC STUDIES","DEPT AQIDAH & ISLAMIC THOUGHT, KUALA LUMPUR, MALAYSIA, 50603","","Religion"
"AFRICA EDUCATION REVIEW","1814-6627","1753-5921","UNISA PRESS","PO BOX 392, PRETORIA, SOUTH AFRICA, 0003","","Social Sciences, General | Education & Educational Research"
"AFRICA JOURNAL OF MANAGEMENT","2332-2373","2332-2381","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Management"
"AFRICAN DIASPORA","1872-5457","1872-5465","BRILL","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA","","Social Sciences, General | Area Studies"
"AFRICAN DISABILITY RIGHTS YEARBOOK","2311-8970","2311-8970","PRETORIA UNIV LAW PRESS","FAC LAW, OFFICE NO 2-3 1, PRETORIA, SOUTH AFRICA, 0002","","Social Sciences, General | Law"
"AFRICAN GEOGRAPHICAL REVIEW","1937-6812","2163-2642","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Geography"
"AFRICAN HISTORICAL REVIEW","1753-2523","1753-2531","UNISA PRESS","PO BOX 392, PRETORIA, SOUTH AFRICA, 0003","","History | Social Sciences, General"
"AFRICAN JOURNAL OF ACCOUNTING AUDITING AND FINANCE","2046-8083","2046-8091","INDERSCIENCE ENTERPRISES LTD","WORLD TRADE CENTER BLDG, 29 ROUTE DE PRE-BOIS, CASE POSTALE 856, GENEVA, SWITZERLAND, CH-1215","","Economics & Business | Business, Finance"
"AFRICAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS-AFJARE","1993-3738","1993-3738","AFRICAN ASSOC AGRICULTURAL ECONOMISTS","PO BOX 62882-00200, NAIROBI, KENYA, 00000","","Agricultural Economics & Policy | Agricultural Sciences"
"AFRICAN JOURNAL OF BUSINESS ETHICS","1817-7417","0976-3600","SUNJOURNALS","STELLENBOSCH UNIV LIB & INFORMATION SERV, PRIVATE BAG X5036, STELLENBOSCH, SOUTH AFRICA, 7599","English","Social Sciences, General | Business"
"AFRICAN JOURNAL OF DIABETES MEDICINE","2042-8545","2053-4787","FSG COMMUNICATIONS LTD","VINE HOUSE, FAIR GREEN, REACH, CAMBRIDGE, ENGLAND, CB25 OJD","","Clinical Medicine | Endocrinology & Metabolism"
"AFRICAN JOURNAL OF DISABILITY","2223-9170","2226-7220","AOSIS","POSTNET SUITE 55, PRIVATE BAG X22, TYGERVALLEY, CAPE TOWN, SOUTH AFRICA, 00000","English","Health Care Sciences & Services | Clinical Medicine"
"AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT STUDIES","2040-0705","2040-0713","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Economics | Economics & Business"
"AFRICAN JOURNAL OF EMERGENCY MEDICINE","2211-419X","2211-4203","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Emergency Medicine | Clinical Medicine"
"AFRICAN JOURNAL OF HEALTH PROFESSIONS EDUCATION","2078-5127","2078-5127","HEALTH & MEDICAL PUBLISHING GROUP","PRIVATE BAG X1, PINELANDS, CAPE TOWN, SOUTH AFRICA, 7430","English","Health Care Sciences & Services | Clinical Medicine"
